,CBERT,BERTScore,BARTScore,R-1,R-2,R-L,,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
250,0.79,0.88,0.34,0.22,0.07,0.14,,,,,,,
251,0.76,0.83,0.33,0.31,0.09,0.13,,,,,,,
252,0.82,0.83,0.28,0.12,0.05,0.08,,,,,,,
253,0.83,0.86,0.36,0.16,0.06,0.08,,,,,,,
254,0.88,0.91,0.6,0.35,0.24,0.24,,,,,,,
255,0.82,0.85,0.46,0.16,0.09,0.11,,,,,,,
256,0.9,0.88,0.51,0.11,0.08,0.08,,,,,,,
257,0.81,0.87,0.43,0.46,0.24,0.29,,,,,,,
258,0.75,0.84,0.36,0.37,0.17,0.19,,,,,,,
259,0.75,0.88,0.43,0.32,0.15,0.23,,,,,,,
260,0.71,0.84,0.29,0.19,0.07,0.09,,,,,,,
261,0.84,0.87,0.44,0.11,0.06,0.07,,,,,,,
262,0.79,0.86,0.34,0.18,0.07,0.1,,,,,,,
263,0.91,0.91,0.61,0.48,0.4,0.4,,,,,,,
264,0.73,0.85,0.29,0.46,0.13,0.22,,,,,,,
265,0.83,0.87,0.33,0.4,0.21,0.25,,,,,,,
266,0.87,0.89,0.47,0.54,0.34,0.45,,,,,,,
267,0.75,0.85,0.36,0.4,0.22,0.24,,,,,,,
268,0.9,0.86,0.53,0.26,0.18,0.14,,,,,,,
269,0.78,0.85,0.24,0.19,0.03,0.1,,,,,,,
270,0.92,0.86,0.56,0.31,0.22,0.27,,,,,,,
271,0.72,0.8,0.31,0.17,0.07,0.11,,,,,,,
272,0.81,0.82,0.36,0.36,0.17,0.19,,,,,,,
273,0.66,0.85,0.33,0.3,0.11,0.2,,,,,,,
274,0.79,0.85,0.31,0.18,0.06,0.1,,,,,,,
275,0.78,0.85,0.38,0.41,0.16,0.16,,,,,,,
276,0.83,0.83,0.33,0.34,0.14,0.17,,,,,,,
277,0.79,0.88,0.38,0.34,0.19,0.26,,,,,,,
278,0.84,0.88,0.48,0.27,0.13,0.19,,,,,,,
279,0.81,0.85,0.35,0.24,0.09,0.13,,,,,,,
280,0.85,0.9,0.56,0.24,0.16,0.2,,,,,,,
281,0.8,0.85,0.34,0.3,0.08,0.15,,,,,,,
282,0.74,0.88,0.53,0.03,0.02,0.02,,,,,,,
283,0.89,0.86,0.41,0.09,0.04,0.07,,,,,,,
284,0.89,0.93,0.64,0.57,0.45,0.52,,,,,,,
285,0.78,0.85,0.32,0.14,0.05,0.07,,,,,,,
286,0.89,0.86,0.42,0.08,0.06,0.05,,,,,,,
287,0.76,0.84,0.37,0.09,0.03,0.05,,,,,,,
288,0.79,0.87,0.37,0.66,0.37,0.42,,,,,,,
289,0.82,0.88,0.46,0.13,0.06,0.09,,,,,,,
290,0.75,0.86,0.36,0.2,0.07,0.12,,,,,,,
291,0.88,0.87,0.45,0.1,0.07,0.1,,,,,,,
292,0.84,0.86,0.39,0.23,0.1,0.13,,,,,,,
293,0.86,0.86,0.34,0.23,0.09,0.11,,,,,,,
294,0.75,0.86,0.33,0.26,0.12,0.14,,,,,,,
295,0.82,0.85,0.37,0.26,0.11,0.14,,,,,,,
296,0.74,0.86,0.25,0.04,0.01,0.03,,,,,,,
297,0.89,0.89,0.5,0.34,0.2,0.24,,,,,,,
298,0.78,0.86,0.38,0.39,0.18,0.2,,,,,,,
299,0.86,0.86,0.32,0.08,0.03,0.05,,,,,,,
300,0.88,0.86,0.4,0.05,0.02,0.04,,,,,,,
301,0.87,0.86,0.42,0.47,0.25,0.26,,,,,,,
302,0.75,0.85,0.4,0.33,0.19,0.25,,,,,,,
303,0.88,0.86,0.37,0.13,0.07,0.09,,,,,,,
304,0.86,0.89,0.49,0.34,0.21,0.22,,,,,,,
305,0.64,0.83,0.36,0.09,0.03,0.05,,,,,,,
306,0.81,0.86,0.37,0.27,0.11,0.12,,,,,,,
307,0.78,0.83,0.34,0.29,0.12,0.17,,,,,,,
308,0.74,0.84,0.25,0.19,0.05,0.11,,,,,,,
309,0.85,0.86,0.33,0.26,0.12,0.12,,,,,,,
310,0.69,0.83,0.26,0.31,0.07,0.14,,,,,,,
311,0.94,0.94,0.71,0.38,0.33,0.35,,,,,,,
312,0.79,0.87,0.29,0.13,0.04,0.06,,,,,,,
313,0.82,0.88,0.38,0.26,0.12,0.16,,,,,,,
314,0.86,0.9,0.49,0.32,0.18,0.24,,,,,,,
315,0.83,0.87,0.36,0.2,0.09,0.13,,,,,,,
316,0.87,0.81,0.29,0.18,0.09,0.11,,,,,,,
317,0.78,0.85,0.31,0.32,0.12,0.13,,,,,,,
318,0.95,0.93,0.58,0.29,0.22,0.26,,,,,,,
319,0.7,0.88,0.42,0.32,0.19,0.25,,,,,,,
320,0.8,0.85,0.37,0.21,0.09,0.12,,,,,,,
321,0.82,0.84,0.33,0.18,0.08,0.11,,,,,,,
322,0.83,0.88,0.43,0.61,0.34,0.39,,,,,,,
323,0.8,0.86,0.35,0.3,0.15,0.16,,,,,,,
324,0.78,0.87,0.45,0.36,0.2,0.29,,,,,,,
325,0.88,0.9,0.52,0.22,0.16,0.19,,,,,,,
326,0.79,0.87,0.39,0.21,0.08,0.1,,,,,,,
327,0.7,0.85,0.34,0.48,0.19,0.22,,,,,,,
328,0.76,0.87,0.41,0.42,0.21,0.21,,,,,,,
329,0.88,0.87,0.36,0.38,0.18,0.21,,,,,,,
330,0.89,0.89,0.49,0.47,0.32,0.34,,,,,,,
331,0.86,0.85,0.33,0.54,0.29,0.33,,,,,,,
332,0.88,0.86,0.36,0.21,0.1,0.1,,,,,,,
333,0.89,0.9,0.53,0.19,0.14,0.16,,,,,,,
334,0.81,0.83,0.42,0.1,0.06,0.08,,,,,,,
335,0.77,0.86,0.35,0.72,0.41,0.38,,,,,,,
336,0.85,0.87,0.4,0.32,0.15,0.14,,,,,,,
337,0.79,0.89,0.46,0.4,0.2,0.26,,,,,,,
338,0.85,0.88,0.42,0.42,0.23,0.27,,,,,,,
339,0.82,0.87,0.48,0.06,0.03,0.05,,,,,,,
340,0.66,0.83,0.26,0.35,0.11,0.17,,,,,,,
341,0.92,0.91,0.61,0.26,0.21,0.24,,,,,,,
342,0.84,0.89,0.48,0.31,0.21,0.23,,,,,,,
343,0.66,0.82,0.27,0.2,0.03,0.11,,,,,,,
344,0.6,0.84,0.28,0.07,0.01,0.05,,,,,,,
345,0.79,0.87,0.38,0.21,0.09,0.14,,,,,,,
346,0.87,0.84,0.34,0.19,0.1,0.12,,,,,,,
347,0.85,0.87,0.43,0.32,0.17,0.17,,,,,,,
348,0.76,0.87,0.34,0.16,0.06,0.1,,,,,,,
349,0.85,0.88,0.39,0.4,0.22,0.26,,,,,,,
350,0.75,0.86,0.38,0.35,0.16,0.19,,,,,,,
351,0.69,0.84,0.26,0.17,0.03,0.09,,,,,,,
352,0.65,0.83,0.25,0.37,0.11,0.21,,,,,,,
353,0.85,0.88,0.42,0.35,0.15,0.18,,,,,,,
354,0.82,0.87,0.34,0.18,0.08,0.12,,,,,,,
355,0.68,0.83,0.3,0.32,0.13,0.2,,,,,,,
356,0.67,0.84,0.3,0.13,0.05,0.08,,,,,,,
357,0.83,0.84,0.39,0.08,0.03,0.05,,,,,,,
358,0.73,0.86,0.37,0.44,0.19,0.18,,,,,,,
359,0.81,0.85,0.31,0.1,0.04,0.07,,,,,,,
360,0.82,0.82,0.44,0.54,0.37,0.31,,,,,,,
361,0.76,0.86,0.32,0.55,0.25,0.28,,,,,,,
362,0.61,0.83,0.26,0.13,0.05,0.11,,,,,,,
363,0.82,0.86,0.36,0.14,0.06,0.08,,,,,,,
364,0.78,0.84,0.33,0.31,0.14,0.15,,,,,,,
365,0.82,0.87,0.38,0.09,0.03,0.06,,,,,,,
366,0.75,0.87,0.36,0.13,0.06,0.09,,,,,,,
367,0.84,0.88,0.39,0.29,0.14,0.2,,,,,,,
368,0.92,0.85,0.56,0.31,0.2,0.23,,,,,,,
369,0.88,0.9,0.48,0.68,0.4,0.45,,,,,,,
370,0.81,0.88,0.4,0.43,0.19,0.28,,,,,,,
371,0.89,0.88,0.39,0.11,0.06,0.08,,,,,,,
372,0.89,0.88,0.54,0.5,0.34,0.39,,,,,,,
373,0.79,0.84,0.31,0.46,0.24,0.24,,,,,,,
374,0.89,0.87,0.4,0.07,0.04,0.05,,,,,,,
375,0.84,0.86,0.37,0.1,0.04,0.06,,,,,,,
376,0.87,0.88,0.4,0.17,0.09,0.1,,,,,,,
377,0.83,0.87,0.51,0.24,0.14,0.16,,,,,,,
378,0.79,0.87,0.37,0.3,0.11,0.14,,,,,,,
379,0.75,0.83,0.23,0.24,0.07,0.12,,,,,,,
380,0.97,0.93,0.62,0.12,0.1,0.11,,,,,,,
381,0.78,0.84,0.29,0.11,0.05,0.07,,,,,,,
382,0.68,0.85,0.33,0.13,0.04,0.08,,,,,,,
383,0.79,0.84,0.34,0.21,0.08,0.12,,,,,,,
384,0.87,0.9,0.53,0.43,0.23,0.29,,,,,,,
385,0.76,0.87,0.44,0.29,0.08,0.15,,,,,,,
386,0.82,0.89,0.44,0.31,0.2,0.27,,,,,,,
387,0.81,0.87,0.45,0.2,0.12,0.16,,,,,,,
388,0.84,0.86,0.2,0.04,0.02,0.03,,,,,,,
389,0.83,0.83,0.39,0.12,0.07,0.08,,,,,,,
390,0.84,0.88,0.37,0.23,0.13,0.13,,,,,,,
391,0.79,0.84,0.37,0.24,0.1,0.12,,,,,,,
392,0.76,0.84,0.35,0.15,0.09,0.11,,,,,,,
393,0.83,0.88,0.48,0.5,0.32,0.38,,,,,,,
394,0.83,0.89,0.46,0.5,0.31,0.34,,,,,,,
395,0.81,0.84,0.33,0.07,0.04,0.06,,,,,,,
396,0.81,0.87,0.42,0.25,0.11,0.13,,,,,,,
397,0.66,0.84,0.3,0.15,0.02,0.07,,,,,,,
398,0.76,0.86,0.35,0.26,0.12,0.17,,,,,,,
399,0.86,0.88,0.41,0.32,0.15,0.15,,,,,,,
400,0.77,0.85,0.3,0.28,0.09,0.14,,,,,,,
401,0.83,0.87,0.45,0.71,0.46,0.52,,,,,,,
402,0.82,0.87,0.37,0.34,0.13,0.21,,,,,,,
403,0.78,0.86,0.34,0.39,0.13,0.18,,,,,,,
404,0.77,0.85,0.34,0.18,0.07,0.1,,,,,,,
405,0.74,0.84,0.37,0.37,0.16,0.19,,,,,,,
406,0.72,0.86,0.32,0.24,0.06,0.12,,,,,,,
407,0.87,0.87,0.35,0.04,0.02,0.03,,,,,,,
408,0.86,0.88,0.44,0.25,0.13,0.17,,,,,,,
409,0.73,0.84,0.27,0.07,0.02,0.05,,,,,,,
410,0.93,0.91,0.73,0.46,0.4,0.44,,,,,,,
411,0.8,0.85,0.44,0.25,0.13,0.15,,,,,,,
412,0.69,0.82,0.3,0.16,0.04,0.09,,,,,,,
413,0.9,0.88,0.33,0.15,0.07,0.11,,,,,,,
414,0.85,0.89,0.41,0.31,0.17,0.19,,,,,,,
415,0.98,0.96,0.74,0.28,0.26,0.27,,,,,,,
416,0.87,0.89,0.49,0.37,0.22,0.24,,,,,,,
417,0.92,0.88,0.6,0.2,0.15,0.17,,,,,,,
418,0.93,0.94,0.68,0.3,0.26,0.29,,,,,,,
419,0.88,0.85,0.36,0.36,0.19,0.22,,,,,,,
420,0.86,0.88,0.38,0.23,0.09,0.13,,,,,,,
421,0.72,0.82,0.28,0.25,0.07,0.15,,,,,,,
422,0.85,0.87,0.35,0.15,0.07,0.1,,,,,,,
423,0.69,0.86,0.33,0.07,0.03,0.05,,,,,,,
424,0.88,0.86,0.42,0.24,0.14,0.15,,,,,,,
425,0.87,0.88,0.49,0.41,0.25,0.3,,,,,,,
426,0.72,0.85,0.34,0.47,0.17,0.23,,,,,,,
427,0.77,0.88,0.41,0.34,0.16,0.2,,,,,,,
428,0.63,0.82,0.24,0.15,0.05,0.09,,,,,,,
429,0.84,0.88,0.39,0.35,0.19,0.22,,,,,,,
430,0.52,0.83,0.25,0.08,0.03,0.06,,,,,,,
431,0.78,0.86,0.46,0.23,0.13,0.12,,,,,,,
432,0.64,0.82,0.24,0.03,0.01,0.02,,,,,,,
433,0.75,0.82,0.37,0.06,0.02,0.04,,,,,,,
434,0.84,0.84,0.33,0.27,0.13,0.15,,,,,,,
435,0.89,0.88,0.54,0.3,0.18,0.23,,,,,,,
436,0.81,0.86,0.43,0.54,0.33,0.35,,,,,,,
437,0.83,0.86,0.35,0.33,0.19,0.18,,,,,,,
438,0.89,0.89,0.57,0.39,0.28,0.32,,,,,,,
439,0.78,0.85,0.39,0.24,0.1,0.14,,,,,,,
440,0.79,0.86,0.33,0.3,0.15,0.17,,,,,,,
441,0.77,0.82,0.34,0.11,0.05,0.07,,,,,,,
442,0.77,0.84,0.22,0.07,0.03,0.05,,,,,,,
443,0.74,0.86,0.22,0.03,0,0.02,,,,,,,
444,0.73,0.82,0.27,0.15,0.05,0.1,,,,,,,
445,0.75,0.84,0.32,0.44,0.16,0.25,,,,,,,
446,0.75,0.85,0.32,0.2,0.08,0.11,,,,,,,
447,0.74,0.86,0.31,0.1,0.04,0.06,,,,,,,
448,0.62,0.81,0.17,0.05,0,0.04,,,,,,,
449,0.82,0.83,0.32,0.19,0.07,0.1,,,,,,,
450,0.84,0.84,0.37,0.38,0.19,0.21,,,,,,,
451,0.76,0.86,0.33,0.22,0.09,0.15,,,,,,,
452,0.49,0.81,0.24,0.05,0.01,0.03,,,,,,,
453,0.81,0.88,0.4,0.19,0.1,0.1,,,,,,,
454,0.81,0.87,0.34,0.37,0.12,0.18,,,,,,,
455,0.74,0.87,0.36,0.33,0.12,0.19,,,,,,,
456,0.77,0.85,0.3,0.11,0.04,0.07,,,,,,,
457,0.75,0.87,0.34,0.26,0.11,0.15,,,,,,,
458,0.76,0.86,0.33,0.36,0.13,0.16,,,,,,,
459,0.89,0.9,0.54,0.5,0.38,0.44,,,,,,,
460,0.81,0.86,0.25,0.33,0.11,0.18,,,,,,,
461,0.79,0.84,0.43,0.39,0.22,0.28,,,,,,,
462,0.78,0.86,0.36,0.68,0.34,0.35,,,,,,,
463,0.85,0.86,0.49,0.42,0.27,0.34,,,,,,,
464,0.58,0.82,0.25,0.07,0.01,0.05,,,,,,,
465,0.68,0.82,0.31,0.13,0.05,0.08,,,,,,,
466,0.84,0.85,0.41,0.16,0.07,0.08,,,,,,,
467,0.82,0.87,0.48,0.36,0.2,0.28,,,,,,,
468,0.81,0.85,0.33,0.32,0.12,0.15,,,,,,,
469,0.63,0.83,0.29,0.11,0.05,0.08,,,,,,,
470,0.87,0.86,0.44,0.19,0.09,0.12,,,,,,,
471,0.8,0.89,0.4,0.43,0.25,0.3,,,,,,,
472,0.87,0.88,0.44,0.36,0.21,0.18,,,,,,,
473,0.74,0.87,0.28,0.08,0.04,0.06,,,,,,,
474,0.68,0.84,0.31,0.45,0.17,0.24,,,,,,,
475,0.88,0.87,0.53,0.24,0.17,0.17,,,,,,,
476,0.84,0.86,0.39,0.36,0.16,0.19,,,,,,,
477,0.72,0.85,0.21,0.08,0.01,0.05,,,,,,,
478,0.84,0.82,0.46,0.41,0.23,0.28,,,,,,,
479,0.78,0.85,0.32,0.15,0.06,0.08,,,,,,,
480,0.91,0.87,0.47,0.07,0.05,0.06,,,,,,,
481,0.65,0.83,0.28,0.07,0.01,0.04,,,,,,,
482,0.81,0.86,0.34,0.21,0.09,0.12,,,,,,,
483,0.78,0.85,0.34,0.16,0.06,0.09,,,,,,,
484,0.84,0.89,0.47,0.41,0.27,0.26,,,,,,,
485,0.8,0.85,0.4,0.53,0.28,0.31,,,,,,,
486,0.77,0.89,0.41,0.32,0.12,0.15,,,,,,,
487,0.93,0.91,0.6,0.27,0.21,0.26,,,,,,,
488,0.72,0.84,0.31,0.23,0.06,0.1,,,,,,,
489,0.91,0.87,0.42,0.04,0.02,0.03,,,,,,,
490,0.84,0.89,0.52,0.39,0.27,0.31,,,,,,,
491,0.77,0.86,0.34,0.29,0.11,0.13,,,,,,,
492,0.84,0.89,0.45,0.3,0.16,0.23,,,,,,,
493,0.78,0.85,0.3,0.13,0.06,0.07,,,,,,,
494,0.72,0.83,0.27,0.16,0.06,0.12,,,,,,,
495,0.83,0.89,0.44,0.14,0.08,0.13,,,,,,,
496,0.81,0.89,0.42,0.33,0.17,0.18,,,,,,,
497,0.92,0.89,0.52,0.42,0.28,0.3,,,,,,,
498,0.63,0.85,0.17,0.11,0.01,0.06,,,,,,,
499,0.87,0.87,0.45,0.46,0.27,0.27,,,,,,,
